
70,S&P Global Inc.,SPGI,0.305223,   312.71,-18.47,(-5.58%)
71,Altria Group Inc,MO,0.294816,   39.91,-1.91,(-4.57%)
72,Cigna Corporation,CI,0.294516,   194.38,-14.62,(-7.00%)
73,Intuit Inc.,INTU,0.290279,   281.15,-14.72,(-4.98%)
74,Mondelez International Inc. Class A,MDLZ,0.28851,   51.27,-1.84,(-3.46%)
75,ServiceNow Inc.,NOW,0.285864,   375.80,-25.86,(-6.44%)
76,United Parcel Service Inc. Class B,UPS,0.28197,   101.44,-5.19,(-4.87%)
77,Anthem Inc.,ANTM,0.276092,   268.41,-20.13,(-6.98%)
78,Caterpillar Inc.,CAT,0.275996,   122.64,-9.80,(-7.40%)
79,Booking Holdings Inc.,BKNG,0.273771,"   1,610.50",-122.81,(-7.09%)
80,Crown Castle International Corp,CCI,0.273135,   163.02,-11.07,(-6.36%)
81,Dominion Energy Inc,D,0.270172,   84.50,-2.51,(-2.88%)
82,American Express Company,AXP,0.268602,   100.04,-6.12,(-5.76%)
83,Prologis Inc.,PLD,0.268579,   92.02,-4.39,(-4.55%)
84,Vertex Pharmaceuticals Incorporated,VRTX,0.266207,   265.80,-8.54,(-3.11%)
85,Becton Dickinson and Company,BDX,0.263795,   230.62,-6.52,(-2.75%)
86,Goldman Sachs Group Inc.,GS,0.256587,   198.26,-15.26,(-7.15%)
87,Intuitive Surgical Inc.,ISRG,0.25529,   554.17,-31.21,(-5.33%)
88,CME Group Inc. Class A,CME,0.255136,   177.44,-11.26,(-5.97%)
89,Automatic Data Processing Inc.,ADP,0.254786,   145.96,-10.09,(-6.46%)
90,Advanced Micro Devices Inc.,AMD,0.25353,   54.55,-2.89,(-5.03%)
91,Zoetis Inc. Class A,ZTS,0.251287,   131.69,-8.22,(-5.88%)
92,TJX Companies Inc,TJX,0.250637,   53.08,-1.73,(-3.16%)
93,General Electric Company,GE,0.250621,   7.05,-0.57,(-7.42%)
94,Duke Energy Corporation,DUK,0.248073,   86.66,-3.53,(-3.91%)
95,Stryker Corporation,SYK,0.244223,   183.97,-17.18,(-8.54%)
96,Colgate-Palmolive Company,CL,0.240319,   73.82,-0.55,(-0.73%)
97,Southern Company,SO,0.234402,   56.27,-2.93,(-4.95%)
98,Equinix Inc.,EQIX,0.231393,   669.02,-26.51,(-3.81%)
99,Regeneron Pharmaceuticals Inc.,REGN,0.23022,   601.71,-4.89,(-0.81%)
100,Fiserv Inc.,FISV,0.230002,   100.64,-6.03,(-5.65%)
101,Target Corporation,TGT,0.229466,   119.26,-0.74,(-0.62%)
102,Chubb Limited,CB,0.224003,   123.79,-7.19,(-5.49%)
103,Micron Technology Inc.,MU,0.219347,   49.11,-3.36,(-6.40%)
104,CSX Corporation,CSX,0.21491,   69.86,-3.44,(-4.69%)
105,Global Payments Inc.,GPN,0.2143,   175.46,-13.56,(-7.17%)
106,Morgan Stanley,MS,0.213828,   45.65,-3.04,(-6.24%)
107,Ecolab Inc.,ECL,0.213676,   207.98,-17.94,(-7.94%)
108,Activision Blizzard Inc.,ATVI,0.213529,   72.00,-1.82,(-2.47%)
109,U.S. Bancorp,USB,0.211034,   36.67,-2.65,(-6.74%)
110,Truist Financial Corporation,TFC,0.210067,   38.02,-3.49,(-8.41%)
111,Marsh & McLennan Companies Inc.,MMC,0.209711,   105.41,-4.71,(-4.28%)
112,Applied Materials Inc.,AMAT,0.208627,   56.51,-3.35,(-5.60%)
113,Air Products and Chemicals Inc.,APD,0.206316,   236.30,-11.56,(-4.66%)
114,Intercontinental Exchange Inc.,ICE,0.204482,   93.02,-4.29,(-4.41%)
115,Northrop Grumman Corporation,NOC,0.20183,   326.41,-14.84,(-4.35%)
116,Biogen Inc.,BIIB,0.200996,   284.14,-11.11,(-3.76%)
117,Illumina Inc.,ILMN,0.199025,   338.34,-20.71,(-5.77%)
118,Boston Scientific Corporation,BSX,0.197323,   35.15,-2.34,(-6.24%)
119,PNC Financial Services Group Inc.,PNC,0.196786,   109.84,-9.10,(-7.65%)
120,Autodesk Inc.,ADSK,0.196255,   223.29,-13.30,(-5.62%)
121,Humana Inc.,HUM,0.195984,   373.26,-19.25,(-4.90%)
122,Illinois Tool Works Inc.,ITW,0.192592,   167.45,-7.06,(-4.04%)
123,Deere & Company,DE,0.191168,   153.08,-7.93,(-4.92%)
124,ConocoPhillips,COP,0.19023,   43.17,-2.74,(-5.97%)
125,Norfolk Southern Corporation,NSC,0.185522,   177.92,-10.63,(-5.64%)
126,Dollar General Corporation,DG,0.18267,   189.61,-0.52,(-0.27%)
127,Newmont Corporation,NEM,0.181205,   55.84,-2.89,(-4.92%)
128,Sherwin-Williams Company,SHW,0.179958,   550.00,-30.96,(-5.33%)
129,Kimberly-Clark Corporation,KMB,0.179299,   138.90,0.39,(0.28%)
130,Progressive Corporation,PGR,0.177232,   76.68,-3.60,(-4.48%)
131,Edwards Lifesciences Corporation,EW,0.172492,   68.19,-5.09,(-6.95%)
132,L3Harris Technologies Inc,LHX,0.172427,   199.56,-7.14,(-3.45%)
133,Analog Devices Inc.,ADI,0.170781,   118.03,-4.85,(-3.95%)
134,Aon Plc Class A,AON,0.17068,   182.66,-10.52,(-5.45%)
135,Moody's Corporation,MCO,0.169592,   262.62,-14.18,(-5.12%)
136,Estee Lauder Companies Inc. Class A,EL,0.16832,   192.02,-8.41,(-4.20%)
137,Baxter International Inc.,BAX,0.167186,   84.10,-2.75,(-3.16%)
138,Lam Research Corporation,LRCX,0.164575,   290.01,-11.29,(-3.75%)
139,Charles Schwab Corporation,SCHW,0.16446,   36.84,-1.29,(-3.37%)
140,Waste Management Inc.,WM,0.160911,   104.54,-4.79,(-4.38%)
141,American Electric Power Company Inc.,AEP,0.159128,   81.35,-4.02,(-4.71%)
142,Roper Technologies Inc.,ROP,0.157266,   395.79,-5.43,(-1.35%)
143,Emerson Electric Co.,EMR,0.151411,   61.66,-4.22,(-6.41%)
144,T-Mobile US Inc.,TMUS,0.150799,   102.40,-3.39,(-3.20%)
145,DuPont de Nemours Inc.,DD,0.150035,   50.32,-3.36,(-6.26%)
146,Exelon Corporation,EXC,0.146678,   37.99,-2.02,(-5.04%)
147,Eaton Corp. Plc,ETN,0.143489,   86.35,-5.63,(-6.12%)
148,General Mills Inc.,GIS,0.143184,   60.62,-2.16,(-3.44%)
149,eBay Inc.,EBAY,0.142122,   48.13,-1.12,(-2.27%)
150,Centene Corporation,CNC,0.14141,   60.74,-3.67,(-5.70%)
151,Phillips 66,PSX,0.141379,   77.45,-6.88,(-8.16%)
152,General Dynamics Corporation,GD,0.139738,   151.16,-6.89,(-4.36%)
153,Electronic Arts Inc.,EA,0.137493,   123.24,-1.57,(-1.26%)
154,Digital Realty Trust Inc.,DLR,0.137153,   133.56,-4.72,(-3.41%)
155,Sempra Energy,SRE,0.136756,   123.30,-5.27,(-4.10%)
156,Ross Stores Inc.,ROST,0.136532,   94.47,-5.57,(-5.57%)
